light,dist,x,y
679,19,0,0
676,11,1,0
677,11,2,0
674,11,3,0
680,11,4,0
677,11,5,0
677,10,6,0
679,11,7,0
680,11,8,0
678,11,9,0
677,11,10,0
678,11,11,0
679,11,12,0
679,11,13,0
677,10,14,0
678,11,15,0
680,11,16,0
679,11,17,0
677,11,18,0
679,11,19,0
680,11,20,0
679,11,21,0
678,11,22,0
678,11,23,0
678,11,24,0
680,11,25,0
677,11,26,0
677,11,27,0
678,11,28,0
679,11,29,0
678,11,30,0
677,11,31,0
679,11,32,0
680,11,33,0
678,10,34,0
676,11,35,0
677,11,36,0
677,11,37,0
678,10,38,0
676,11,39,0
677,10,40,0
679,11,41,0
680,11,42,0
678,11,43,0
677,11,44,0
680,11,45,0
682,11,0,1
681,11,1,1
680,11,2,1
681,11,3,1
682,11,4,1
682,11,5,1
680,11,6,1
680,11,7,1
682,11,8,1
682,11,9,1
680,11,10,1
681,11,11,1
681,11,12,1
682,11,13,1
681,11,14,1
682,11,15,1
681,11,16,1
687,11,17,1
685,11,18,1
681,11,19,1
686,11,20,1
687,11,21,1
686,11,22,1
686,11,23,1
687,11,24,1
688,11,25,1
687,11,26,1
686,11,27,1
687,11,28,1
688,11,29,1
687,11,30,1
686,11,31,1
687,11,32,1
688,11,33,1
687,11,34,1
686,11,35,1
686,11,36,1
689,11,37,1
687,11,38,1
682,12,39,1
686,11,40,1
688,11,41,1
688,11,42,1
685,11,43,1
685,11,44,1
687,11,45,1
691,18,0,2
686,6,1,2
687,6,2,2
687,18,3,2
688,12,4,2
688,11,5,2
681,11,6,2
687,7,7,2
688,7,8,2
688,11,9,2
687,7,10,2
686,7,11,2
679,6,12,2
688,11,13,2
687,7,14,2
685,7,15,2
686,7,16,2
687,6,17,2
687,6,18,2
688,6,19,2
686,6,20,2
685,6,21,2
689,11,22,2
689,7,23,2
687,6,24,2
686,11,25,2
687,7,26,2
689,11,27,2
688,7,28,2
687,11,29,2
687,6,30,2
689,6,31,2
689,7,32,2
687,6,33,2
687,11,34,2
688,11,35,2
688,6,36,2
688,11,37,2
686,11,38,2
687,6,39,2
688,6,40,2
688,6,41,2
687,6,42,2
686,6,43,2
687,6,44,2
688,11,45,2
683,18,0,3
687,11,1,3
684,7,2,3
683,11,3,3
688,11,4,3
687,11,5,3
686,7,6,3
686,11,7,3
688,11,8,3
688,6,9,3
686,11,10,3
686,11,11,3
688,11,12,3
688,6,13,3
687,11,14,3
687,7,15,3
687,11,16,3
688,7,17,3
688,6,18,3
687,11,19,3
687,11,20,3
688,11,21,3
689,7,22,3
687,11,23,3
685,11,24,3
687,7,25,3
688,11,26,3
685,11,27,3
683,6,28,3
683,18,29,3
683,6,30,3
681,6,31,3
677,19,32,3
681,6,33,3
683,6,34,3
679,6,35,3
681,6,36,3
680,6,37,3
680,6,38,3
683,11,39,3
