light,dist,x,y
686,460,0,0
692,178,1,0
695,223,2,0
695,235,3,0
694,260,4,0
693,207,5,0
694,260,6,0
694,233,7,0
696,234,8,0
696,192,9,0
693,274,10,0
694,233,11,0
694,233,12,0
696,233,13,0
695,233,14,0
695,234,15,0
693,232,16,0
694,233,17,0
695,233,18,0
696,233,19,0
694,232,20,0
694,233,21,0
693,233,22,0
695,233,23,0
696,233,24,0
695,233,25,0
694,232,26,0
694,233,27,0
696,233,28,0
696,233,29,0
696,233,30,0
694,233,31,0
693,233,32,0
696,233,33,0
696,233,34,0
696,233,35,0
694,233,36,0
694,233,37,0
695,232,38,0
696,233,39,0
695,233,40,0
695,233,41,0
693,232,42,0
695,234,43,0
696,233,44,0
697,233,45,0
694,73,0,1
696,224,1,1
696,234,2,1
696,234,3,1
695,259,4,1
694,233,5,1
694,234,6,1
695,233,7,1
697,233,8,1
695,234,9,1
695,233,10,1
694,233,11,1
696,233,12,1
697,233,13,1
696,233,14,1
695,233,15,1
694,234,16,1
696,232,17,1
697,233,18,1
696,233,19,1
695,233,20,1
695,233,21,1
697,232,22,1
697,233,23,1
697,233,24,1
696,233,25,1
695,233,26,1
695,233,27,1
697,233,28,1
697,233,29,1
695,233,30,1
695,233,31,1
695,233,32,1
696,233,33,1
698,233,34,1
696,233,35,1
694,233,36,1
696,233,37,1
696,233,38,1
697,233,39,1
695,233,40,1
694,233,41,1
694,233,42,1
695,233,43,1
696,233,44,1
695,233,45,1
697,93,0,2
699,228,1,2
700,233,2,2
700,234,3,2
699,233,4,2
697,233,5,2
698,233,6,2
700,233,7,2
700,234,8,2
699,233,9,2
698,233,10,2
699,233,11,2
701,233,12,2
701,233,13,2
699,233,14,2
698,232,15,2
699,233,16,2
702,233,17,2
704,233,18,2
704,233,19,2
703,233,20,2
703,233,21,2
704,233,22,2
703,233,23,2
702,233,24,2
700,233,25,2
699,233,26,2
700,233,27,2
700,233,28,2
699,233,29,2
696,233,30,2
695,233,31,2
697,233,32,2
697,233,33,2
696,233,34,2
695,233,35,2
695,233,36,2
696,233,37,2
696,233,38,2
696,233,39,2
694,233,40,2
694,233,41,2
696,233,42,2
696,233,43,2
696,233,44,2
694,233,45,2
695,73,0,3
696,224,1,3
695,260,2,3
695,233,3,3
694,234,4,3
694,233,5,3
697,234,6,3
697,233,7,3
696,233,8,3
695,233,9,3
695,233,10,3
696,233,11,3
697,233,12,3
696,234,13,3
695,13,14,3
697,114,15,3
696,14,16,3
699,111,17,3
698,13,18,3
697,14,19,3
693,14,20,3
696,548,21,3
696,233,22,3
694,233,23,3
694,233,24,3
695,233,25,3
697,232,26,3
697,233,27,3
695,233,28,3
694,233,29,3
695,233,30,3
696,233,31,3
696,233,32,3
