light,dist,x,y
701,233,45,1
695,95,0,0
691,275,1,0
691,68,2,0
686,94,3,0
682,97,4,0
686,94,5,0
687,94,6,0
688,64,7,0
685,94,8,0
684,95,9,0
686,94,10,0
688,93,11,0
688,93,12,0
686,93,13,0
686,64,14,0
687,94,15,0
689,93,16,0
688,94,17,0
688,94,18,0
687,87,19,0
690,93,20,0
691,65,21,0
689,94,22,0
691,95,23,0
691,93,24,0
692,93,25,0
693,80,26,0
691,93,27,0
692,95,28,0
693,94,29,0
695,95,30,0
696,93,31,0
696,95,32,0
695,274,33,0
698,275,34,0
696,274,35,0
698,252,36,0
697,233,37,0
697,233,38,0
697,233,39,0
698,233,40,0
699,233,41,0
699,233,42,0
698,233,43,0
698,233,44,0
700,233,45,0
688,70,0,1
686,94,1,1
687,66,2,1
689,94,3,1
688,95,4,1
688,93,5,1
686,94,6,1
689,92,7,1
689,94,8,1
689,94,9,1
688,93,10,1
684,94,11,1
689,92,12,1
690,93,13,1
691,64,14,1
690,93,15,1
690,95,16,1
692,93,17,1
692,94,18,1
692,93,19,1
690,93,20,1
689,65,21,1
691,94,22,1
691,95,23,1
691,95,24,1
691,95,25,1
691,85,26,1
693,95,27,1
694,274,28,1
690,274,29,1
695,95,30,1
696,85,31,1
696,226,32,1
694,233,33,1
695,232,34,1
696,233,35,1
697,233,36,1
697,233,37,1
695,232,38,1
694,233,39,1
696,233,40,1
697,233,41,1
697,233,42,1
696,232,43,1
695,233,44,1
697,233,45,1
682,70,0,2
680,94,1,2
682,64,2,2
684,94,3,2
683,94,4,2
682,94,5,2
682,94,6,2
683,93,7,2
685,94,8,2
685,95,9,2
684,94,10,2
680,95,11,2
684,93,12,2
687,94,13,2
688,64,14,2
687,94,15,2
687,95,16,2
689,95,17,2
691,94,18,2
691,92,19,2
690,94,20,2
690,65,21,2
692,95,22,2
694,94,23,2
693,94,24,2
692,95,25,2
693,82,26,2
695,95,27,2
696,274,28,2
692,275,29,2
696,274,30,2
696,237,31,2
698,233,32,2
698,232,33,2
698,233,34,2
698,233,35,2
698,233,36,2
699,233,37,2
700,233,38,2
699,233,39,2
698,233,40,2
698,233,41,2
700,233,42,2
700,233,43,2
698,233,44,2
697,233,45,2
680,70,0,3
681,96,1,3
678,64,2,3
678,96,3,3
682,97,4,3
684,96,5,3
686,95,6,3
686,92,7,3
687,95,8,3
688,96,9,3
690,96,10,3
690,95,11,3
690,95,12,3
690,95,13,3
691,276,14,3
692,95,15,3
692,95,16,3
694,94,17,3
696,71,18,3
695,94,19,3
695,275,20,3
696,95,21,3
695,93,22,3
697,94,23,3
700,68,24,3
699,98,25,3
699,274,26,3
695,275,27,3
701,128,28,3
702,64,29,3
701,212,30,3
703,233,31,3
700,233,32,3
697,233,33,3
698,233,34,3
699,233,35,3
702,234,36,3
701,232,37,3
699,233,38,3
697,233,39,3
697,233,40,3
697,233,41,3
695,233,42,3
694,233,43,3
693,233,44,3
693,233,45,3
689,89,0,4
689,134,1,4
690,247,2,4
685,247,3,4
684,117,4,4
687,87,5,4
686,90,6,4
687,91,7,4
688,91,8,4
687,91,9,4
686,91,10,4
685,91,11,4
686,78,12,4
687,92,13,4
687,93,14,4
685,92,15,4
686,92,16,4
688,91,17,4
690,92,18,4
690,78,19,4
689,92,20,4
693,93,21,4
692,92,22,4
694,92,23,4
693,84,24,4
692,92,25,4
693,122,26,4
694,92,27,4
696,93,28,4
698,85,29,4
698,93,30,4
699,274,31,4
697,116,32,4
703,93,33,4
703,95,34,4
705,72,35,4
706,137,36,4
707,134,37,4
706,79,38,4
707,119,39,4
708,127,40,4
708,91,41,4
707,127,42,4
709,275,43,4
708,274,44,4
708,251,45,4
692,75,0,5
691,93,1,5
692,75,2,5
694,94,3,5
694,92,4,5
692,92,5,5
692,93,6,5
694,90,7,5
695,92,8,5
696,93,9,5
695,92,10,5
695,93,11,5
697,92,12,5
699,93,13,5
699,92,14,5
700,93,15,5
703,276,16,5
699,93,17,5
699,92,18,5
701,95,19,5
703,275,20,5
704,127,21,5
703,94,22,5
705,126,23,5
704,275,24,5
705,126,25,5
705,77,26,5
706,125,27,5
703,126,28,5
708,92,29,5
708,235,30,5
707,233,31,5
706,233,32,5
708,233,33,5
709,126,34,5
710,274,35,5
708,126,36,5
708,79,37,5
710,219,38,5
709,232,39,5
709,233,40,5
709,233,41,5
711,233,42,5
712,233,43,5
711,233,44,5
710,233,45,5
694,69,0,6
693,95,1,6
693,65,2,6
693,94,3,6
694,96,4,6
696,95,5,6
694,94,6,6
694,92,7,6
693,93,8,6
696,95,9,6
698,94,10,6
698,93,11,6
697,93,12,6
697,94,13,6
698,65,14,6
700,93,15,6
700,94,16,6
700,93,17,6
701,93,18,6
703,92,19,6
704,95,20,6
704,275,21,6
703,98,22,6
705,94,23,6
704,95,24,6
705,77,25,6
708,94,26,6
708,95,27,6
709,96,28,6
709,94,29,6
709,91,30,6
712,96,31,6
713,275,32,6
713,97,33,6
713,96,34,6
714,261,35,6
714,233,36,6
713,233,37,6
712,233,38,6
714,233,39,6
715,233,40,6
716,233,41,6
715,232,42,6
714,233,43,6
715,232,44,6
716,233,45,6
694,69,0,7
693,95,1,7
695,66,2,7
696,95,3,7
694,246,4,7
694,95,5,7
694,94,6,7
696,95,7,7
698,87,8,7
697,95,9,7
697,98,10,7
697,94,11,7
698,96,12,7
700,92,13,7
701,94,14,7
701,95,15,7
701,93,16,7
697,94,17,7
704,94,18,7
705,94,19,7
706,95,20,7
706,95,21,7
701,97,22,7
706,94,23,7
708,93,24,7
710,77,25,7
711,94,26,7
711,97,27,7
711,96,28,7
712,98,29,7
714,87,30,7
714,96,31,7
713,121,32,7
714,94,33,7
712,123,34,7
714,274,35,7
714,275,36,7
715,274,37,7
716,260,38,7
717,232,39,7
715,233,40,7
715,233,41,7
716,233,42,7
718,233,43,7
717,233,44,7
717,233,45,7
695,71,0,8
697,246,1,8
698,239,2,8
697,233,3,8
696,97,4,8
696,246,5,8
697,246,6,8
699,247,7,8
701,248,8,8
695,248,9,8
699,98,10,8
700,96,11,8
703,237,12,8
703,98,13,8
704,249,14,8
705,276,15,8
696,96,16,8
706,95,17,8
707,97,18,8
708,276,19,8
711,277,20,8
710,99,21,8
711,92,22,8
711,96,23,8
711,276,24,8
712,127,25,8
713,93,26,8
713,100,27,8
714,127,28,8
714,125,29,8
714,127,30,8
715,132,31,8
716,101,32,8
