light,dist,x,y
699,5,0,0
700,4,1,0
702,4,2,0
703,4,3,0
704,4,4,0
703,4,5,0
702,4,6,0
701,4,7,0
701,4,8,0
702,4,9,0
702,4,10,0
701,4,11,0
700,4,12,0
700,4,13,0
701,4,14,0
702,4,15,0
701,4,16,0
702,4,17,0
701,4,18,0
703,4,19,0
704,4,20,0
704,4,21,0
703,4,22,0
702,4,23,0
703,4,24,0
705,4,25,0
705,4,26,0
707,5,27,0
702,4,28,0
703,4,29,0
704,5,30,0
704,4,31,0
703,4,32,0
701,5,33,0
701,4,34,0
702,4,35,0
702,4,36,0
701,4,37,0
699,4,38,0
699,4,39,0
701,4,40,0
702,4,41,0
702,4,42,0
701,4,43,0
701,4,44,0
704,4,45,0
729,4,0,1
730,4,1,1
730,4,2,1
728,4,3,1
728,4,4,1
728,4,5,1
730,4,6,1
730,4,7,1
729,4,8,1
727,4,9,1
728,4,10,1
729,4,11,1
729,4,12,1
729,4,13,1
727,4,14,1
728,4,15,1
728,4,16,1
729,4,17,1
729,4,18,1
727,4,19,1
727,4,20,1
727,4,21,1
729,4,22,1
728,4,23,1
727,4,24,1
725,4,25,1
727,4,26,1
727,4,27,1
728,4,28,1
726,4,29,1
726,4,30,1
726,4,31,1
727,4,32,1
727,4,33,1
727,4,34,1
725,4,35,1
726,4,36,1
726,4,37,1
724,4,38,1
727,4,39,1
725,4,40,1
725,4,41,1
726,4,42,1
728,4,43,1
727,4,44,1
726,4,45,1
729,4,0,2
729,4,1,2
729,4,2,2
730,4,3,2
731,4,4,2
729,4,5,2
729,4,6,2
730,4,7,2
729,4,8,2
729,4,9,2
728,4,10,2
725,4,11,2
725,4,12,2
726,4,13,2
727,4,14,2
727,4,15,2
725,4,16,2
724,4,17,2
727,5,18,2
727,4,19,2
727,4,20,2
726,5,21,2
725,4,22,2
725,4,23,2
727,4,24,2
727,4,25,2
726,4,26,2
725,4,27,2
725,4,28,2
726,4,29,2
728,4,30,2
726,4,31,2
725,4,32,2
725,4,33,2
726,4,34,2
727,4,35,2
727,4,36,2
725,4,37,2
725,4,38,2
725,4,39,2
727,4,40,2
727,4,41,2
726,4,42,2
724,4,43,2
725,4,44,2
726,4,45,2
723,4,0,3
720,4,1,3
717,4,2,3
715,4,3,3
714,4,4,3
714,4,5,3
715,4,6,3
713,4,7,3
712,4,8,3
712,4,9,3
713,4,10,3
714,4,11,3
714,4,12,3
712,4,13,3
712,4,14,3
712,4,15,3
713,4,16,3
714,4,17,3
712,4,18,3
711,4,19,3
711,4,20,3
712,4,21,3
713,4,22,3
711,4,23,3
710,4,24,3
708,4,25,3
708,4,26,3
709,4,27,3
709,4,28,3
704,4,29,3
707,4,30,3
707,4,31,3
709,4,32,3
710,4,33,3
708,4,34,3
703,4,35,3
707,4,36,3
709,4,37,3
711,4,38,3
710,4,39,3
709,4,40,3
710,4,41,3
712,4,42,3
711,4,43,3
710,4,44,3
711,4,45,3
685,4,0,4
704,4,1,4
705,4,2,4
706,4,3,4
706,4,4,4
704,4,5,4
704,4,6,4
705,4,7,4
705,4,8,4
705,4,9,4
705,4,10,4
704,4,11,4
703,4,12,4
704,4,13,4
704,4,14,4
702,4,15,4
699,4,16,4
699,4,17,4
699,4,18,4
699,4,19,4
700,4,20,4
697,4,21,4
696,4,22,4
697,4,23,4
698,4,24,4
698,4,25,4
697,4,26,4
697,4,27,4
698,4,28,4
700,4,29,4
700,4,30,4
699,4,31,4
697,4,32,4
694,4,33,4
694,4,34,4
695,4,35,4
692,4,36,4
690,4,37,4
690,4,38,4
690,4,39,4
691,4,40,4
690,4,41,4
690,4,42,4
687,4,43,4
688,4,44,4
688,4,45,4
677,4,0,5
677,4,1,5
676,4,2,5
676,4,3,5
676,4,4,5
676,4,5,5
677,4,6,5
677,4,7,5
674,4,8,5
674,4,9,5
675,4,10,5
677,4,11,5
676,4,12,5
673,4,13,5
672,4,14,5
673,4,15,5
674,4,16,5
674,4,17,5
673,4,18,5
672,4,19,5
674,4,20,5
674,4,21,5
672,4,22,5
671,4,23,5
669,4,24,5
668,4,25,5
668,4,26,5
669,4,27,5
666,4,28,5
661,4,29,5
665,4,30,5
665,4,31,5
666,4,32,5
666,4,33,5
665,4,34,5
667,5,35,5
666,4,36,5
666,4,37,5
667,5,38,5
666,4,39,5
667,4,40,5
669,5,41,5
670,4,42,5
672,4,43,5
672,4,44,5
671,4,45,5
684,4,0,6
685,4,1,6
685,4,2,6
685,5,3,6
685,4,4,6
683,4,5,6
682,5,6,6
683,4,7,6
684,4,8,6
683,4,9,6
681,4,10,6
681,4,11,6
681,4,12,6
681,4,13,6
681,4,14,6
682,4,15,6
685,4,16,6
689,4,17,6
691,4,18,6
691,4,19,6
690,4,20,6
689,4,21,6
688,4,22,6
688,4,23,6
689,4,24,6
689,4,25,6
688,4,26,6
688,4,27,6
689,4,28,6
690,4,29,6
690,4,30,6
689,4,31,6
689,4,32,6
689,4,33,6
690,4,34,6
690,4,35,6
690,4,36,6
689,4,37,6
689,4,38,6
692,4,39,6
691,4,40,6
690,4,41,6
690,4,42,6
690,4,43,6
692,4,44,6
692,4,45,6
698,4,0,7
698,4,1,7
696,4,2,7
697,4,3,7
698,4,4,7
698,4,5,7
698,4,6,7
696,4,7,7
695,4,8,7
696,4,9,7
697,4,10,7
697,4,11,7
696,4,12,7
694,4,13,7
692,4,14,7
697,4,15,7
697,4,16,7
690,4,17,7
694,4,18,7
694,4,19,7
695,4,20,7
697,4,21,7
696,4,22,7
691,5,23,7
695,4,24,7
696,4,25,7
694,5,26,7
696,4,27,7
695,4,28,7
699,5,29,7
694,4,30,7
696,4,31,7
696,4,32,7
696,4,33,7
694,4,34,7
695,4,35,7
696,4,36,7
696,4,37,7
696,4,38,7
695,4,39,7
694,4,40,7
695,4,41,7
696,4,42,7
695,4,43,7
695,4,44,7
694,4,45,7
673,22,0,8
677,19,1,8
678,23,2,8
678,22,3,8
682,25,4,8
678,18,5,8
667,19,6,8
667,19,7,8
674,34,8,8
676,26,9,8
684,22,10,8
691,26,11,8
698,29,12,8
716,29,13,8
735,30,14,8
741,30,15,8
756,31,16,8
762,36,17,8
758,259,18,8
763,259,19,8
754,260,20,8
743,246,21,8
735,233,22,8
729,233,23,8
727,233,24,8
730,232,25,8
732,233,26,8
731,233,27,8
731,233,28,8
732,7,29,8
730,120,30,8
729,231,31,8
732,7,32,8
729,119,33,8
730,230,34,8
728,233,35,8
731,233,36,8
730,232,37,8
728,233,38,8
729,233,39,8
736,233,40,8
739,233,41,8
737,233,42,8
736,233,43,8
742,233,44,8
753,233,45,8
740,262,0,9
740,78,1,9
737,216,2,9
738,233,3,9
738,234,4,9
736,233,5,9
735,234,6,9
730,233,7,9
729,233,8,9
729,233,9,9
730,233,10,9
730,233,11,9
728,233,12,9
727,233,13,9
729,233,14,9
729,233,15,9
726,233,16,9
722,233,17,9
725,232,18,9
726,233,19,9
727,233,20,9
731,233,21,9
734,144,22,9
731,231,23,9
732,258,24,9
730,258,25,9
729,258,26,9
725,251,27,9
724,232,28,9
725,233,29,9
725,233,30,9
724,233,31,9
724,233,32,9
721,233,33,9
725,233,34,9
725,233,35,9
725,233,36,9
726,233,37,9
728,233,38,9
731,233,39,9
736,233,40,9
737,233,41,9
735,233,42,9
733,233,43,9
738,152,44,9
734,258,45,9
699,123,0,10
700,256,1,10
701,233,2,10
702,233,3,10
703,202,4,10
698,264,5,10
692,202,6,10
692,201,7,10
685,200,8,10
681,216,9,10
679,213,10,10
671,41,11,10
671,155,12,10
666,30,13,10
666,31,14,10
668,181,15,10
671,38,16,10
677,175,17,10
667,200,18,10
670,197,19,10
663,53,20,10
661,53,21,10
654,28,22,10
652,22,23,10
648,19,24,10
644,17,25,10
642,18,26,10
641,20,27,10
640,19,28,10
645,19,29,10
646,8,30,10
643,31,31,10
643,17,32,10
643,32,33,10
639,7,34,10
635,31,35,10
634,20,36,10
631,6,37,10
628,5,38,10
630,16,39,10
633,5,40,10
634,5,41,10
633,4,42,10
632,5,43,10
633,6,44,10
631,5,45,10
616,8,0,11
614,8,1,11
613,8,2,11
613,9,3,11
615,9,4,11
614,8,5,11
613,8,6,11
612,8,7,11
613,9,8,11
613,9,9,11
612,8,10,11
610,8,11,11
611,9,12,11
610,9,13,11
615,6,14,11
616,4,15,11
620,4,16,11
625,5,17,11
627,10,18,11
629,5,19,11
630,10,20,11
630,7,21,11
630,7,22,11
630,20,23,11
622,29,24,11
626,18,25,11
627,18,26,11
625,20,27,11
623,20,28,11
624,53,29,11
621,37,30,11
620,9,31,11
619,19,32,11
619,7,33,11
623,7,34,11
621,5,35,11
621,18,36,11
619,5,37,11
620,5,38,11
620,8,39,11
623,5,40,11
625,7,41,11
622,10,42,11
619,10,43,11
621,10,44,11
620,10,45,11
615,10,0,12
613,10,1,12
612,10,2,12
612,10,3,12
611,10,4,12
609,10,5,12
608,11,6,12
609,9,7,12
610,10,8,12
609,10,9,12
608,9,10,12
608,10,11,12
611,12,12,12
611,13,13,12
611,11,14,12
611,9,15,12
615,9,16,12
613,9,17,12
611,9,18,12
610,12,19,12
613,10,20,12
613,10,21,12
613,9,22,12
611,10,23,12
611,10,24,12
613,10,25,12
612,10,26,12
610,10,27,12
611,9,28,12
611,9,29,12
611,9,30,12
609,9,31,12
609,9,32,12
610,9,33,12
611,9,34,12
610,9,35,12
608,9,36,12
610,9,37,12
610,9,38,12
610,8,39,12
607,9,40,12
608,9,41,12
609,8,42,12
609,9,43,12
609,9,44,12
607,9,45,12
613,5,0,13
614,6,1,13
615,5,2,13
616,5,3,13
612,5,4,13
614,5,5,13
617,5,6,13
616,5,7,13
617,5,8,13
617,5,9,13
616,5,10,13
620,5,11,13
622,5,12,13
616,5,13,13
619,5,14,13
621,5,15,13
621,5,16,13
625,5,17,13
625,5,18,13
621,5,19,13
624,5,20,13
627,5,21,13
