light,dist,x,y
2,16,34,0
623,16,35,0
621,16,36,0
621,16,37,0
625,16,38,0
625,16,39,0
625,16,40,0
626,16,41,0
620,15,32,0
621,15,33,0
622,16,34,0
623,16,35,0
621,16,36,0
621,16,37,0
625,16,38,0
625,16,39,0
625,16,40,0
626,16,41,0
616,15,0,0
612,16,1,0
611,16,2,0
611,16,3,0
610,16,4,0
611,16,5,0
612,16,6,0
610,16,7,0
610,16,8,0
612,16,9,0
613,15,10,0
612,16,11,0
608,16,12,0
614,16,13,0
614,16,14,0
613,15,15,0
614,15,16,0
616,15,17,0
616,15,18,0
616,15,19,0
617,15,20,0
618,15,21,0
617,15,22,0
617,15,23,0
620,15,24,0
618,16,25,0
618,15,26,0
620,15,27,0
621,15,28,0
621,15,29,0
618,15,30,0
622,16,31,0
624,16,32,0
623,16,33,0
622,16,34,0
624,16,35,0
626,16,36,0
625,16,37,0
624,16,38,0
628,16,39,0
627,16,40,0
627,16,41,0
628,16,42,0
630,16,43,0
631,16,44,0
633,16,45,0
612,17,0,1
613,17,1,1
611,16,2,1
608,16,3,1
609,16,4,1
610,16,5,1
608,16,6,1
607,15,7,1
610,16,8,1
609,16,9,1
609,16,10,1
610,15,11,1
612,15,12,1
613,15,13,1
612,15,14,1
614,15,15,1
616,15,16,1
616,15,17,1
617,15,18,1
620,15,19,1
621,15,20,1
621,15,21,1
620,16,22,1
624,15,23,1
623,15,24,1
622,15,25,1
624,15,26,1
620,15,27,1
626,16,28,1
627,16,29,1
627,16,30,1
629,16,31,1
628,16,32,1
627,16,33,1
629,16,34,1
631,16,35,1
630,16,36,1
631,16,37,1
634,16,38,1
634,16,39,1
630,16,40,1
635,16,41,1
636,16,42,1
635,16,43,1
635,16,44,1
638,17,45,1
614,17,0,2
616,17,1,2
615,16,2,2
616,16,3,2
614,16,4,2
613,16,5,2
602,16,6,2
614,16,7,2
613,16,8,2
612,15,9,2
613,15,10,2
616,15,11,2
616,15,12,2
615,15,13,2
616,15,14,2
618,15,15,2
617,15,16,2
616,15,17,2
618,15,18,2
619,15,19,2
618,15,20,2
618,15,21,2
621,15,22,2
621,15,23,2
619,15,24,2
621,15,25,2
622,16,26,2
622,15,27,2
622,16,28,2
624,16,29,2
626,15,30,2
625,16,31,2
626,16,32,2
629,16,33,2
628,16,34,2
627,16,35,2
627,16,36,2
627,16,37,2
628,16,38,2
628,16,39,2
629,16,40,2
631,16,41,2
629,16,42,2
630,17,43,2
632,16,44,2
632,16,45,2
612,16,0,3
610,16,1,3
613,16,2,3
613,16,3,3
612,16,4,3
612,16,5,3
613,16,6,3
614,16,7,3
613,16,8,3
614,16,9,3
616,16,10,3
615,16,11,3
615,16,12,3
617,16,13,3
617,16,14,3
616,16,15,3
616,16,16,3
620,16,17,3
619,16,18,3
618,16,19,3
620,16,20,3
622,16,21,3
620,16,22,3
620,16,23,3
623,16,24,3
624,16,25,3
621,16,26,3
622,16,27,3
624,16,28,3
622,16,29,3
622,16,30,3
624,16,31,3
626,16,32,3
625,16,33,3
624,16,34,3
626,16,35,3
627,16,36,3
626,16,37,3
627,16,38,3
629,16,39,3
628,16,40,3
628,16,41,3
633,17,42,3
631,17,43,3
631,17,44,3
630,16,45,3
613,17,0,4
614,18,1,4
614,39,2,4
613,40,3,4
615,93,4,4
615,144,5,4
616,19,6,4
613,18,7,4
615,18,8,4
617,17,9,4
615,17,10,4
616,16,11,4
618,16,12,4
619,15,13,4
618,15,14,4
619,15,15,4
621,15,16,4
621,15,17,4
619,15,18,4
621,15,19,4
623,15,20,4
623,15,21,4
622,15,22,4
624,15,23,4
624,15,24,4
623,15,25,4
623,15,26,4
625,15,27,4
625,15,28,4
623,15,29,4
625,15,30,4
627,15,31,4
627,15,32,4
624,16,33,4
627,16,34,4
627,16,35,4
626,15,36,4
626,16,37,4
629,16,38,4
629,16,39,4
628,17,40,4
631,18,41,4
630,50,42,4
629,50,43,4
631,52,44,4
630,50,45,4
615,17,0,5
615,17,1,5
614,17,2,5
614,17,3,5
616,17,4,5
616,17,5,5
613,17,6,5
616,17,7,5
616,17,8,5
615,17,9,5
616,17,10,5
619,17,11,5
619,17,12,5
618,17,13,5
620,17,14,5
621,17,15,5
621,16,16,5
620,16,17,5
622,16,18,5
623,16,19,5
621,16,20,5
621,16,21,5
625,16,22,5
624,16,23,5
623,16,24,5
625,16,25,5
625,16,26,5
625,16,27,5
625,15,28,5
626,15,29,5
626,15,30,5
625,15,31,5
626,15,32,5
628,15,33,5
626,15,34,5
625,15,35,5
627,15,36,5
628,15,37,5
628,16,38,5
626,16,39,5
630,16,40,5
630,16,41,5
628,16,42,5
630,16,43,5
633,16,44,5
632,16,45,5
613,16,0,6
613,16,1,6
615,16,2,6
615,16,3,6
613,16,4,6
615,16,5,6
617,16,6,6
616,16,7,6
616,16,8,6
618,16,9,6
619,16,10,6
618,16,11,6
618,16,12,6
623,16,13,6
621,16,14,6
620,16,15,6
621,16,16,6
623,16,17,6
616,17,18,6
622,17,19,6
626,17,20,6
626,16,21,6
624,16,22,6
626,16,23,6
628,16,24,6
627,16,25,6
627,17,26,6
629,16,27,6
629,16,28,6
628,16,29,6
627,16,30,6
628,16,31,6
629,16,32,6
627,16,33,6
628,16,34,6
630,16,35,6
627,16,36,6
626,16,37,6
625,16,38,6
625,16,39,6
622,16,40,6
622,16,41,6
624,16,42,6
624,16,43,6
621,17,44,6
624,16,45,6
613,17,0,7
614,17,1,7
613,16,2,7
613,16,3,7
614,16,4,7
615,16,5,7
612,16,6,7
613,16,7,7
616,16,8,7
615,16,9,7
612,16,10,7
616,16,11,7
617,16,12,7
616,16,13,7
617,16,14,7
618,16,15,7
618,16,16,7
617,17,17,7
619,16,18,7
621,17,19,7
620,17,20,7
621,17,21,7
622,17,22,7
621,17,23,7
620,17,24,7
622,17,25,7
623,17,26,7
622,17,27,7
622,17,28,7
625,17,29,7
624,16,30,7
623,16,31,7
623,16,32,7
625,16,33,7
623,16,34,7
623,16,35,7
623,16,36,7
625,16,37,7
624,16,38,7
624,16,39,7
625,16,40,7
625,16,41,7
624,16,42,7
625,16,43,7
627,16,44,7
625,16,45,7
611,17,0,8
613,17,1,8
613,17,2,8
612,17,3,8
612,17,4,8
614,16,5,8
614,16,6,8
612,16,7,8
613,16,8,8
615,16,9,8
617,16,10,8
614,16,11,8
616,16,12,8
618,16,13,8
617,16,14,8
615,16,15,8
619,16,16,8
619,17,17,8
618,17,18,8
618,17,19,8
621,17,20,8
621,17,21,8
619,17,22,8
621,17,23,8
622,17,24,8
621,17,25,8
622,17,26,8
623,17,27,8
612,17,28,8
621,16,29,8
624,16,30,8
624,16,31,8
622,16,32,8
622,16,33,8
624,16,34,8
624,16,35,8
623,16,36,8
623,16,37,8
624,16,38,8
623,16,39,8
623,16,40,8
625,17,41,8
624,16,42,8
623,16,43,8
624,17,44,8
626,17,45,8
613,17,0,9
612,17,1,9
611,17,2,9
614,17,3,9
613,17,4,9
612,16,5,9
614,17,6,9
614,17,7,9
613,17,8,9
612,17,9,9
615,16,10,9
615,17,11,9
613,17,12,9
615,16,13,9
617,17,14,9
615,17,15,9
616,16,16,9
618,17,17,9
618,16,18,9
617,16,19,9
618,17,20,9
621,17,21,9
620,17,22,9
619,17,23,9
620,17,24,9
622,17,25,9
621,18,26,9
621,17,27,9
623,17,28,9
623,17,29,9
621,17,30,9
623,17,31,9
624,17,32,9
624,17,33,9
622,17,34,9
624,17,35,9
623,16,36,9
622,17,37,9
623,17,38,9
625,17,39,9
624,17,40,9
624,17,41,9
625,17,42,9
625,17,43,9
624,17,44,9
624,17,45,9
613,17,0,10
614,17,1,10
614,17,2,10
613,17,3,10
614,17,4,10
614,16,5,10
613,17,6,10
614,17,7,10
616,17,8,10
614,17,9,10
614,16,10,10
616,17,11,10
617,17,12,10
616,17,13,10
619,17,14,10
619,17,15,10
618,17,16,10
618,18,17,10
620,18,18,10
621,18,19,10
618,18,20,10
621,18,21,10
623,18,22,10
621,18,23,10
622,18,24,10
624,17,25,10
623,17,26,10
622,17,27,10
619,17,28,10
626,17,29,10
624,17,30,10
624,16,31,10
625,16,32,10
625,16,33,10
624,16,34,10
626,16,35,10
629,17,36,10
624,16,37,10
624,16,38,10
627,16,39,10
626,17,40,10
622,17,41,10
626,17,42,10
627,17,43,10
626,16,44,10
625,17,45,10
611,17,0,11
612,17,1,11
611,17,2,11
610,17,3,11
612,17,4,11
612,17,5,11
610,17,6,11
610,17,7,11
613,17,8,11
612,17,9,11
