light,dist,x,y
669,233,0,0
665,275,1,0
664,194,2,0
665,228,3,0
669,234,4,0
662,246,5,0
659,245,6,0
657,235,7,0
657,207,8,0
654,245,9,0
652,245,10,0
651,236,11,0
651,233,12,0
652,233,13,0
653,233,14,0
653,233,15,0
651,233,16,0
651,232,17,0
653,233,18,0
654,233,19,0
654,233,20,0
654,233,21,0
654,233,22,0
657,233,23,0
658,233,24,0
657,42,25,0
656,40,26,0
658,40,27,0
658,40,28,0
654,41,29,0
658,40,30,0
654,40,31,0
655,39,32,0
653,39,33,0
655,39,34,0
654,38,35,0
655,38,36,0
656,37,37,0
655,37,38,0
657,37,39,0
655,37,40,0
657,38,41,0
655,37,42,0
653,39,43,0
657,38,44,0
655,36,45,0
687,73,0,1
684,238,1,1
686,235,2,1
687,233,3,1
688,234,4,1
688,233,5,1
686,233,6,1
686,233,7,1
688,233,8,1
689,234,9,1
688,233,10,1
687,233,11,1
685,234,12,1
686,232,13,1
686,233,14,1
686,233,15,1
684,50,16,1
686,83,17,1
686,224,18,1
684,233,19,1
685,233,20,1
686,165,21,1
686,247,22,1
686,247,23,1
685,47,24,1
688,44,25,1
680,268,26,1
687,267,27,1
690,46,28,1
694,45,29,1
693,42,30,1
696,124,31,1
696,230,32,1
696,39,33,1
696,38,34,1
696,274,35,1
698,37,36,1
701,40,37,1
700,275,38,1
700,246,39,1
699,52,40,1
700,49,41,1
698,53,42,1
699,58,43,1
698,64,44,1
698,71,45,1
704,96,0,2
703,245,1,2
703,243,2,2
704,234,3,2
706,233,4,2
708,234,5,2
709,233,6,2
709,233,7,2
709,234,8,2
711,233,9,2
713,233,10,2
714,233,11,2
713,233,12,2
712,233,13,2
714,233,14,2
716,233,15,2
717,233,16,2
717,233,17,2
716,233,18,2
718,233,19,2
720,233,20,2
720,233,21,2
720,232,22,2
718,233,23,2
719,232,24,2
720,233,25,2
721,233,26,2
721,233,27,2
719,232,28,2
720,234,29,2
721,232,30,2
722,233,31,2
722,233,32,2
720,233,33,2
719,233,34,2
721,233,35,2
722,233,36,2
721,233,37,2
719,233,38,2
720,233,39,2
720,233,40,2
721,233,41,2
721,232,42,2
719,233,43,2
717,233,44,2
717,233,45,2
657,2,0,3
655,3,1,3
652,3,2,3
652,3,3,3
655,3,4,3
654,3,5,3
653,3,6,3
651,3,7,3
646,3,8,3
640,3,9,3
634,3,10,3
631,3,11,3
630,3,12,3
627,3,13,3
624,3,14,3
624,3,15,3
624,3,16,3
624,3,17,3
630,3,18,3
635,3,19,3
640,3,20,3
644,3,21,3
648,3,22,3
650,3,23,3
651,3,24,3
651,3,25,3
