light,dist,x,y
612,4,0,0
614,3,1,0
614,4,2,0
614,4,3,0
616,4,4,0
618,4,5,0
620,4,6,0
618,4,7,0
617,4,8,0
617,4,9,0
619,3,10,0
620,4,11,0
621,3,12,0
621,4,13,0
621,4,14,0
622,4,15,0
626,4,16,0
625,4,17,0
624,4,18,0
625,4,19,0
628,4,20,0
629,3,21,0
631,3,22,0
630,3,23,0
630,4,24,0
630,4,25,0
632,4,26,0
633,4,27,0
632,3,28,0
631,4,29,0
631,4,30,0
633,4,31,0
633,4,32,0
634,3,33,0
633,3,34,0
630,4,35,0
632,4,36,0
630,4,37,0
635,4,38,0
636,4,39,0
635,4,40,0
636,4,41,0
637,4,42,0
637,4,43,0
636,4,44,0
634,3,45,0
629,4,0,1
628,3,1,1
628,3,2,1
629,4,3,1
628,4,4,1
627,4,5,1
626,4,6,1
625,4,7,1
627,4,8,1
627,4,9,1
626,3,10,1
625,3,11,1
624,4,12,1
625,4,13,1
626,4,14,1
626,4,15,1
624,4,16,1
623,4,17,1
624,4,18,1
626,4,19,1
626,4,20,1
624,4,21,1
624,3,22,1
623,3,23,1
625,4,24,1
625,4,25,1
624,4,26,1
623,4,27,1
622,4,28,1
624,4,29,1
625,4,30,1
624,4,31,1
622,4,32,1
622,4,33,1
624,3,34,1
624,3,35,1
626,4,36,1
624,4,37,1
622,4,38,1
623,3,39,1
625,4,40,1
626,4,41,1
627,4,42,1
625,4,43,1
624,4,44,1
624,3,45,1
623,4,0,2
623,3,1,2
623,3,2,2
619,3,3,2
616,3,4,2
617,4,5,2
617,4,6,2
612,3,7,2
614,4,8,2
612,4,9,2
611,3,10,2
612,3,11,2
613,3,12,2
612,4,13,2
611,4,14,2
611,4,15,2
613,4,16,2
612,4,17,2
611,4,18,2
612,4,19,2
610,4,20,2
611,4,21,2
611,3,22,2
612,3,23,2
610,4,24,2
610,4,25,2
608,4,26,2
611,4,27,2
612,4,28,2
612,4,29,2
610,4,30,2
609,3,31,2
611,3,32,2
612,3,33,2
610,3,34,2
610,4,35,2
608,3,36,2
609,4,37,2
610,4,38,2
610,4,39,2
610,4,40,2
609,4,41,2
612,4,42,2
614,4,43,2
617,3,44,2
618,3,45,2
670,7,0,3
676,7,1,3
679,203,2,3
687,81,3,3
692,217,4,3
691,220,5,3
694,248,6,3
699,234,7,3
704,234,8,3
708,233,9,3
711,233,10,3
714,7,11,3
717,7,12,3
720,269,13,3
704,6,14,3
726,7,15,3
727,88,16,3
737,225,17,3
759,7,18,3
771,7,19,3
773,49,20,3
766,7,21,3
758,44,22,3
750,45,23,3
750,45,24,3
747,45,25,3
748,45,26,3
742,49,27,3
746,44,28,3
743,36,29,3
743,45,30,3
743,37,31,3
743,36,32,3
743,37,33,3
736,304,34,3
746,46,35,3
746,44,36,3
751,44,37,3
750,44,38,3
748,43,39,3
758,43,40,3
763,43,41,3
766,43,42,3
767,43,43,3
772,44,44,3
771,44,45,3
772,7,0,4
771,7,1,4
767,7,2,4
765,7,3,4
767,7,4,4
767,7,5,4
765,7,6,4
763,207,7,4
763,7,8,4
762,7,9,4
760,7,10,4
760,7,11,4
763,7,12,4
767,7,13,4
767,7,14,4
768,7,15,4
771,7,16,4
773,7,17,4
774,7,18,4
773,7,19,4
771,7,20,4
774,7,21,4
775,133,22,4
774,233,23,4
773,7,24,4
770,7,25,4
767,270,26,4
765,270,27,4
765,47,28,4
767,46,29,4
763,46,30,4
768,45,31,4
764,45,32,4
766,45,33,4
